"Data generated on Tuesday, September 24, 2019 at 12:10:16 PM EST"
Area/Partners of Destination,,,,,January 1999 - December 2019
And Commodities Exported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2013-2013","DOZ","76,305.0","172,583.0","93,267.0","197,961.0","102,775.0","108,157.0","112,600.0","99,516.0","23,874.0","53,420.0","282,140.0","106,167.0","1,428,765.0","4","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2014-2014","DOZ","76,808.0","114,412.0","94,884.0","92,049.0","85,360.0","56,565.0","62,700.0","79,131.0","14,330.0","30,081.0","54,386.0","55,287.0","815,993.0","11","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2015-2015","DOZ","83,370.0","70,856.0","88,151.0","77,956.0","38,723.0","136,760.0","73,109.0","110,450.0","69,413.0","131,459.0","63,991.0","185,294.0","1,129,532.0","-47","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2016-2016","DOZ","2,026,045.0","2,591,089.0","2,925,055.0","3,348,883.0","2,517,011.0","2,701,364.0","2,952,339.0","2,783,611.0","4,638,814.0","3,823,264.0","3,158,594.0","3,590,140.0","37,056,209.0","9","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2017-2017","DOZ","2,114,965.0","3,184,061.0","2,538,882.0","2,510,294.0","2,290,759.0","2,997,546.0","1,042,268.0","1,313,500.0","1,154,290.0","1,000,684.0","686,768.0","857,969.0","21,691,986.0","-65","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2018-2018","DOZ","661,616.0","783,379.0","636,447.0","308,440.0","84,446.0","399,844.0","476,132.0","1,093,710.0","258,720.0","442,976.0","281,349.0","71,268.0","5,498,327.0","19","US","R00","0407900000",
"1","World Total","7","0407900000","BIRD EGGS, PR/CK","2019-2019","DOZ","370,093.0","185,479.0","114,169.0","538,454.0","261,418.0","326,484.0","295,322.0","","","","","","2,091,419.0","-10","US","R00","0407900000",
"1","World Total","8","0401201000","MLK&CRM<6% ORG","2016-2016","LITER","0.0","0.0","0.0","0.0","0.0","0.0","19,338.0","454,736.0","556,188.0","596,677.0","1,098,021.0","542,899.0","3,267,859.0","","US","R00","0401201000",
"1","World Total","8","0401201000","MLK&CRM<6% ORG","2017-2017","LITER","470,534.0","739,507.0","876,226.0","573,308.0","1,177,233.0","1,036,331.0","602,119.0","490,201.0","446,854.0","544,980.0","472,831.0","567,068.0","7,997,192.0","-42","US","R00","0401201000",
"1","World Total","8","0401201000","MLK&CRM<6% ORG","2018-2018","LITER","679,810.0","451,709.0","536,876.0","560,588.0","571,165.0","456,818.0","514,800.0","433,779.0","379,190.0","473,891.0","438,441.0","381,468.0","5,878,535.0","13","US","R00","0401201000",
"1","World Total","8","0401201000","MLK&CRM<6% ORG","2019-2019","LITER","349,617.0","254,696.0","274,056.0","321,867.0","236,882.0","260,879.0","274,127.0","","","","","","1,972,124.0","5","US","R00","0401201000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2012-2012","LITER","747,373.0","695,531.0","893,159.0","821,333.0","808,895.0","577,852.0","348,943.0","518,622.0","481,936.0","723,571.0","732,518.0","463,872.0","7,813,605.0","-40","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2013-2013","LITER","655,392.0","487,290.0","567,573.0","919,108.0","770,659.0","714,631.0","412,349.0","693,706.0","708,902.0","873,386.0","918,581.0","588,603.0","8,310,180.0","-42","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2014-2014","LITER","771,587.0","652,438.0","707,587.0","484,090.0","357,153.0","616,668.0","395,366.0","409,667.0","303,275.0","417,778.0","317,867.0","439,338.0","5,872,814.0","-36","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2015-2015","LITER","635,731.0","631,702.0","682,519.0","1,404,486.0","429,319.0","658,271.0","169,549.0","667,424.0","1,513,749.0","574,657.0","629,812.0","436,478.0","8,433,697.0","-74","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2016-2016","LITER","395,584.0","416,698.0","317,244.0","348,884.0","355,806.0","1,011,389.0","1,884,011.0","1,116,147.0","763,026.0","4,352,205.0","7,113,628.0","5,193,354.0","23,267,976.0","86","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2017-2017","LITER","1,449,648.0","1,141,970.0","1,461,692.0","1,200,270.0","775,609.0","812,819.0","231,491.0","1,187,218.0","1,461,174.0","1,145,093.0","2,544,138.0","732,983.0","14,144,105.0","-72","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2018-2018","LITER","399,229.0","293,980.0","351,480.0","321,808.0","357,619.0","301,637.0","226,558.0","682,316.0","685,652.0","493,846.0","951,381.0","564,848.0","5,630,354.0","-25","US","R00","0401500000",
"1","World Total","9","0401500000","MLK&CRM,>10% FAT","2019-2019","LITER","314,149.0","313,281.0","251,899.0","496,172.0","372,026.0","262,019.0","201,949.0","","","","","","2,211,495.0","-23","US","R00","0401500000",
